GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home_away,PTS_ht,PTS_ht_opp,PTS_final
22300437,SAS,POR,67.05,13,26,1,4,5,8,3,7,7,5,2,6,4,10,19,2,5,2,3,1,10,6,0,0,5,4,away,56,71,128
22300438,LAC,MEM,80.13333333333334,12,27,3,14,6,8,2,13,12,1,2,5,3,10,18,3,8,3,4,2,7,3,0,1,1,2,home,59,54,117
22300438,MEM,LAC,72.58333333333333,16,31,5,12,3,4,0,13,14,3,2,6,5,5,13,3,8,1,1,1,4,4,1,0,0,5,away,54,59,106
22300439,UTA,MIA,68.16666666666667,12,28,2,13,2,4,4,7,11,6,1,2,5,11,23,1,8,3,5,1,10,2,0,1,2,3,home,54,53,117
22300439,MIA,UTA,66.06666666666666,13,23,2,4,5,7,3,12,5,1,2,7,5,6,18,3,13,5,7,2,9,4,3,2,3,6,away,53,54,109
22300440,TOR,DET,94.01666666666667,15,39,5,12,3,4,3,15,9,2,4,3,5,1,7,0,2,4,4,0,0,1,1,0,0,3,away,44,52,127
22300440,DET,TOR,81.15,12,32,2,6,6,8,3,17,9,1,1,1,5,6,11,3,6,5,5,0,6,3,1,3,3,4,home,52,44,129
22300441,NYK,IND,92.06666666666666,20,39,7,11,5,7,7,14,12,8,1,6,4,4,12,2,7,0,0,2,1,3,1,0,1,3,away,62,64,126
22300441,IND,NYK,69.36666666666666,13,28,6,16,2,3,2,10,16,4,1,7,3,12,15,4,5,2,2,1,5,3,0,3,4,3,home,64,62,140
22300442,PHI,CHI,76.36666666666666,14,39,3,13,4,7,8,4,8,4,1,1,5,4,10,2,6,3,3,1,8,1,1,1,2,4,away,48,56,92
22300442,CHI,PHI,80.95,21,31,4,8,5,10,4,19,10,1,1,9,6,2,11,0,5,1,2,3,3,2,1,1,0,4,home,56,48,105
22300443,LAL,MIN,74.5,16,32,2,4,6,7,5,11,10,8,0,4,4,5,16,0,4,7,10,1,3,3,0,1,2,2,away,57,61,106
22300443,MIN,LAL,73.3,12,23,2,8,8,8,2,10,7,2,2,8,10,10,15,5,8,2,2,0,9,6,3,1,4,3,home,61,57,108
22300444,DAL,GSW,76.33333333333333,16,32,6,16,2,2,2,11,10,2,1,4,6,8,14,4,8,3,3,1,7,4,1,0,1,2,away,63,54,132
22300444,GSW,DAL,67.88333333333334,14,31,5,15,1,3,3,6,9,2,1,3,3,9,20,1,7,1,1,6,11,7,3,1,3,4,home,54,63,122
22300445,ATL,WAS,85.26666666666667,26,42,5,10,7,10,6,21,13,2,1,6,5,2,11,1,6,1,1,1,4,2,1,1,0,3,away,70,58,130
22300445,WAS,ATL,76.66666666666667,16,35,7,21,4,5,1,12,12,3,3,2,5,5,15,0,6,5,5,1,4,8,1,2,2,2,home,58,70,126
22300446,NOP,LAL,78.56666666666666,21,36,9,12,10,13,6,11,14,2,2,4,5,5,11,1,5,2,2,2,8,5,3,2,2,7,home,74,57,129
22300446,LAL,NOP,76.73333333333333,17,29,4,8,11,13,1,7,9,4,5,6,6,2,12,1,7,3,4,0,8,3,1,0,1,3,away,57,74,109
22300447,OKC,BKN,72.11666666666666,15,27,2,6,9,11,0,10,10,0,1,6,5,7,12,3,5,1,1,2,10,6,1,0,2,5,home,59,56,124
22300447,BKN,OKC,81.73333333333333,12,34,6,15,4,4,6,11,11,4,1,1,5,8,16,3,9,3,6,1,3,5,3,0,1,7,away,56,59,108
